,count,mean,std,min,25%,50%,75%,max
target,149232.0,0.06703656052321218,0.2500861435107537,0.0,0.0,0.0,0.0,1.0
revolving_utilization,149232.0,0.30067488071674303,0.334725384730835,0.0,0.030207013249999998,0.14515218400000002,0.50781659475,1.0
age,149232.0,52.2984949608663,14.713476037511338,21.0,41.0,52.0,63.0,109.0
delinquency_30_59,149232.0,0.26102310496408276,0.7902811379136013,0.0,0.0,0.0,0.0,10.0
debt_ratio,149232.0,0.5435954586944439,0.5113811295786632,0.0,0.1780944695,0.352132701,0.70048628475,1.4840740076249999
monthly_income,149232.0,5884.435747694864,3053.33031436967,0.0,3900.0,5400.0,7409.0,12672.5
num_credit_lines,149232.0,8.488099067224187,5.134245854027569,0.0,5.0,8.0,11.0,58.0
delinquency_90,149232.0,0.10482336228154819,0.609078699627391,0.0,0.0,0.0,0.0,10.0
real_estate_loans,149232.0,1.0234668167685215,1.1303046339062528,0.0,0.0,1.0,2.0,54.0
delinquency_60_89,149232.0,0.07950037525463707,0.5017997211660166,0.0,0.0,0.0,0.0,10.0
dependents,149232.0,0.7411681140774097,1.1085950492657461,0.0,0.0,0.0,1.0,20.0
monthly_income_log,149232.0,8.427369324458944,1.1669220164282588,0.0,8.268988209506656,8.594339400592892,8.910585718290132,9.447268478261009
delinquency_total,149232.0,0.445346842500268,1.5731100280351373,0.0,0.0,0.0,0.0,30.0
income_per_dependent,149232.0,4260.279888174277,2739.0576346314506,0.0,2142.0,3970.0,5400.0,12672.5
loan_per_age,149232.0,0.16636385482706628,0.10252273828559778,0.0,0.09302325581395349,0.14893617021276595,0.22033898305084745,1.3255813953488371
debt_per_income,149232.0,0.07336454682412939,0.1607219807579522,0.0,0.018400017927596615,0.03743996433604428,0.07527044905657704,1.4840740076249999
utilization_income_ratio,149232.0,0.035125760005889906,0.05896580981341487,0.0,0.0032111491247849007,0.015488361944369037,0.05437943483355265,1.0
