,target,revolving_utilization,age,delinquency_30_59,debt_ratio,monthly_income,num_credit_lines,delinquency_90,real_estate_loans,delinquency_60_89,dependents,monthly_income_log,delinquency_total,income_per_dependent,loan_per_age,debt_per_income,utilization_income_ratio
target,1.0,0.22112118724489677,-0.11558061149347608,0.2797785682605775,-0.004824915981227113,-0.056854517853898175,-0.030728280761943564,0.2999556276270415,-0.00776988266633579,0.23781527385305826,0.04646348643019912,-0.01701554111489982,0.3325488603436754,-0.06786174858072995,0.011744736700818766,-0.013295085379962684,0.1370123077015149
revolving_utilization,0.22112118724489677,1.0,-0.2575012348316732,0.202952157643806,-0.01598049582657279,-0.08091255894916188,-0.1427361387361366,0.19672583820827277,-0.05232962000030084,0.15292234133098204,0.08786321483844488,-0.04194097684824556,0.2269054050145217,-0.12226721423591047,-0.056708682259119764,-0.012042746266521936,0.673435994875033
age,-0.11558061149347608,-0.2575012348316732,1.0,-0.08296400900261061,0.08080951440316794,0.09464935381671209,0.14785412322304456,-0.09091382995921427,0.03327709247508286,-0.07710832843543042,-0.21745801011082874,0.08706504037365217,-0.10147510576741002,0.2309561240976866,-0.2511469177894827,0.0004139975959894575,-0.19688802866452862
delinquency_30_59,0.2797785682605775,0.202952157643806,-0.08296400900261061,1.0,-0.01440046512960002,-0.01617020375270645,0.03944492516545714,0.4436476827853873,0.020374039104640976,0.5311338739486785,0.051676600911035174,-0.001729404409265167,0.8435648478727213,-0.04383352568161423,0.06100419259940541,-0.014893766245925947,0.1314320064448002
debt_ratio,-0.004824915981227113,-0.01598049582657279,0.08080951440316794,-0.01440046512960002,1.0,-0.1575702298129279,0.03322859152852331,-0.023536602956213962,0.12498176048219525,-0.019338504958671815,-0.14004763087822222,-0.17372810718711323,-0.022515981244867915,0.004676981472419964,0.004796543610574161,0.5188202155066112,0.07683292592713033
monthly_income,-0.056854517853898175,-0.08091255894916188,0.09464935381671209,-0.01617020375270645,-0.1575702298129279,1.0,0.26540064913206685,-0.06523804464062286,0.3362580887075969,-0.046329552399226356,0.19171144741406726,0.6472819021852197,-0.048160818724317725,0.6444887098764932,0.20751229364040097,-0.259284947079139,-0.18794579721328183
num_credit_lines,-0.030728280761943564,-0.1427361387361366,0.14785412322304456,0.03944492516545714,0.03322859152852331,0.26540064913206685,1.0,-0.1144929550240194,0.43075315285376164,-0.06262544271653815,0.06990676755170942,0.15101480522364807,-0.044490257047263296,0.15705973586276634,0.8817179678659219,-0.010975017185011813,-0.12607736273613018
delinquency_90,0.2999556276270415,0.19672583820827277,-0.09091382995921427,0.4436476827853873,-0.023536602956213962,-0.06523804464062286,-0.1144929550240194,1.0,-0.07197088554937899,0.6200217718670546,0.01760457311381393,-0.030021318205335823,0.8078340515309291,-0.05644352145196548,-0.09514200836428856,-0.014911188389537177,0.13420437535991206
real_estate_loans,-0.00776988266633579,-0.05232962000030084,0.03327709247508286,0.020374039104640976,0.12498176048219525,0.3362580887075969,0.43075315285376164,-0.07197088554937899,1.0,-0.04017411809373264,0.12673903476767406,0.17912629613012795,-0.030445471059188156,0.17132806315179372,0.38354759109799585,0.015920151949569816,-0.060994041699176105
delinquency_60_89,0.23781527385305826,0.15292234133098204,-0.07710832843543042,0.5311338739486785,-0.019338504958671815,-0.046329552399226356,-0.06262544271653815,0.6200217718670546,-0.04017411809373264,1.0,0.0157894827012208,-0.02349754470305437,0.8258715759550821,-0.04368795248804946,-0.044710330957324414,-0.012505297698855666,0.10767312536897798
