Feature,Coefficient,AbsCoefficient
delinquency_total,0.7754381155540996,0.7754381155540996
revolving_utilization,0.5803772967933196,0.5803772967933196
age,-0.27254910419111916,0.27254910419111916
debt_per_income,-0.1363700746944077,0.1363700746944077
income_per_dependent,-0.1263686207462307,0.1263686207462307
monthly_income_log,-0.09750176035427206,0.09750176035427206
debt_ratio,0.08568892730674897,0.08568892730674897
utilization_income_ratio,-0.07839017420516693,0.07839017420516693
real_estate_loans,0.07771580973095826,0.07771580973095826
loan_per_age,0.07008278727068513,0.07008278727068513
num_credit_lines,0.010754466596107291,0.010754466596107291
dependents,-0.0009813091709023416,0.0009813091709023416
