target,revolving_utilization,age,delinquency_30_59,debt_ratio,monthly_income,num_credit_lines,delinquency_90,real_estate_loans,delinquency_60_89,dependents,monthly_income_log,delinquency_total,income_per_dependent,loan_per_age,debt_per_income,utilization_income_ratio
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,9.118334726180159,2,3040.0,0.2826086956521739,0.07935911893904495,0.07571666976164819
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,7.8636512654486515,0,1300.0,0.0975609756097561,0.013750112380333026,0.10798608726079566
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,8.02059914989697,2,3042.0,0.05128205128205128,0.009435445870685002,0.07296412677948531
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,8.101980731853192,0,3300.0,0.16129032258064516,0.003960641432017201,0.02568779070051883
0,0.9072394,49,1,0.024925695,12672.5,7,0,1,0,0.0,9.447268478261009,1,12672.5,0.14,0.0023858576097537973,0.0868398665055666
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,8.160803920954665,0,1750.0,0.04,0.04100152914973179,0.023270739537647942
0,0.305682465,57,0,1.4840740076249999,5400.0,8,0,3,0,0.0,8.594339400592892,0,5400.0,0.13793103448275862,0.1546822501957029,0.031860709970413396
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,8.160803920954665,0,3500.0,0.2,0.0229172045173653,0.08235779899995675
0,0.116950644,27,0,1.4840740076249999,5400.0,2,0,0,0,0.0,8.594339400592892,0,5400.0,0.07142857142857142,0.1546822501957029,0.012189546264412213
0,0.189169052,57,0,0.606290901,12672.5,9,0,4,0,2.0,9.447268478261009,0,4224.166666666667,0.15517241379310345,0.058033437377587115,0.018107034618056256
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,7.824445930877619,0,2500.0,0.16129032258064516,0.03507032763576824,0.07300469253778177
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,8.779865100863852,0,2167.0,0.1346153846153846,0.05434929362707164,0.0019221246720815782
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,9.429877427696281,0,4151.333333333333,0.2765957446808511,0.028605712489748743,0.000992519525925674
1,0.964672555,40,3,0.382964747,12672.5,9,3,1,1,2.0,9.447268478261009,7,4224.166666666667,0.21951219512195122,0.03665692595120768,0.09233729917129245
0,0.019656581,76,0,1.4840740076249999,0.0,6,0,1,0,0.0,0.0,0,0.0,0.07792207792207792,1.4840740076249999,0.019656581
0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,9.338117741918008,0,3787.3333333333335,0.1076923076923077,0.02030270492557374,0.0530520231720872
0,0.061086118,78,0,1.4840740076249999,5400.0,10,0,2,0,0.0,8.594339400592892,0,5400.0,0.12658227848101267,0.1546822501957029,0.006366891502319078
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,9.082620630373812,0,8800.0,0.12962962962962962,0.018673127443953007,0.016492148727590777
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,8.0959035329611,0,1093.3333333333333,0.1590909090909091,0.05803577809363049,0.0243860074148995
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,5.811140992976701,0,333.0,0.07692307692307693,0.009670665027771407,0.08850123813639604
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,9.417435838868785,0,12300.0,0.22727272727272727,0.0412814002074716,0.019287220493389476
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,8.006700845440367,0,1000.0,0.1794871794871795,0.05283192971163178,0.002848509952785671
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,7.824445930877619,0,2500.0,0.1,0.027322232000578588,0.11332155104502373
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,8.976767625171433,0,7916.0,0.18181818181818182,0.008571131674376412,0.00756022259250565
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,7.790282380703483,0,2416.0,0.15254237288135594,0.027487381466881053,0.005296788883848552
1,0.392248482,50,0,0.352132701,4676.0,14,0,3,0,1.0,8.450412157725886,0,2338.0,0.27450980392156865,0.03726109455576761,0.041505965608000454
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,9.0280988119824,0,8333.0,0.3728813559322034,0.009739850776429648,0.005228916765094599
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,7.824445930877619,0,1250.0,0.24285714285714285,0.00480291310434545,0.0039006950996839157
0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,8.131824785007195,0,3400.0,0.04,0.001287940502243302,0.049553713376427146
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,8.612685172875459,2,5500.0,0.2542372881355932,0.04536739934337701,0.040882914496038036
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,8.343077871169383,1,4200.0,0.27586206896551724,0.016611350685507557,0.07535782016466035
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,6.621405651764134,0,750.0,0.04,0.062023081384020406,0.1312093786490067
0,0.083418009,62,0,1.4840740076249999,5400.0,6,0,1,0,0.0,8.594339400592892,0,5400.0,0.09523809523809523,0.1546822501957029,0.008694502614202402
0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,8.853808274977197,0,7000.0,0.15517241379310345,0.031846805239441923,0.018964094975800858
0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,7.7102051944325325,2,2230.0,0.16279069767441862,0.029589654117992473,0.07959969547481714
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,9.305741456739435,0,11000.0,0.13846153846153847,0.007135708702638698,0.0
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,8.294299608857235,3,2000.0,0.17647058823529413,0.0610974531592295,0.09487926999465694
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,8.131824785007195,1,1700.0,0.013157894736842105,0.014682521309446517,0.10950712738617358
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,6.90875477931522,0,1000.0,0.037037037037037035,0.0012631583958233417,0.04597896560796964
0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,8.160803920954665,0,3500.0,0.18867924528301888,0.08823903240096435,0.03323842215457751
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,8.648396877031582,1,5700.0,0.3333333333333333,0.05592166977339337,0.07462227343839427
0,0.07289757,81,0,1.4840740076249999,5400.0,7,0,0,0,0.0,8.594339400592892,0,5400.0,0.08536585365853659,0.1546822501957029,0.0075979769900046705
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,9.132486932771318,0,4625.0,0.125,0.0047580622920985,0.046292370778484596
0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,8.205764725234456,0,1830.5,0.13793103448275862,0.018480334776931548,0.07807123030527979
0,0.368875933,68,0,1.4840740076249999,1.0,31,0,1,0,0.0,0.6931471805599453,0,1.0,0.4492753623188406,0.8765180160735924,0.21786406830740374
0,0.000602723,70,0,0.177787036,12672.5,12,0,1,0,2.0,9.447268478261009,0,4224.166666666667,0.16901408450704225,0.017017561707152892,5.769192217603713e-05
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,8.050065422915965,0,3133.0,0.031746031746031744,0.0012340062174270648,0.0067889157844567005
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,7.569411792450712,0,1937.0,0.125,0.08044548467227425,0.016350087659859167
0,0.834048027,38,0,0.393662026,12672.5,13,0,2,0,2.0,9.447268478261009,0,4224.166666666667,0.3333333333333333,0.037680856658287645,0.07983407612578468
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,8.839421607620602,1,6900.0,0.29577464788732394,0.02605230990421893,8.089906416689171e-06
0,0.818977517,73,0,1.4840740076249999,0.0,9,0,1,1,0.0,0.0,1,0.0,0.12162162162162163,1.4840740076249999,0.818977517
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,8.006700845440367,0,1500.0,0.3125,0.09156794548333602,0.08084541759468178
0,0.9999999,62,0,0.0,5400.0,1,0,0,0,0.0,8.594339400592892,0,5400.0,0.015873015873015872,0.0,0.10422811391665007
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,8.657129031713755,0,5750.0,0.09615384615384616,0.03172594028658531,0.002957645787500814
0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,7.710653323501202,0,2231.0,0.03333333333333333,0.000925822174353107,0.11388536900252441
0,0.070853769,55,0,0.073147745,12672.5,4,0,1,0,0.0,9.447268478261009,0,12672.5,0.07142857142857142,0.007001614359983955,0.006782037730478034
0,0.454971915,46,1,0.016921775,12672.5,10,0,0,0,1.0,9.447268478261009,1,6336.25,0.2127659574468085,0.0016197319936030494,0.043549365649664246
0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,8.076204527239026,0,3216.0,0.06153846153846154,0.03870108214791989,0.04420347522975494
0,0.541108804,43,0,1.4840740076249999,5400.0,3,0,1,0,2.0,8.594339400592892,0,1800.0,0.06818181818181818,0.1546822501957029,0.05639875570448984
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,8.668024081118821,0,1937.6666666666667,0.2777777777777778,0.027059294102391756,0.06780805876148945
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,8.959825623865841,0,7783.0,0.1864406779661017,0.02421083180635092,0.06542317873905551
0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,8.630700432209832,0,5600.0,0.04285714285714286,0.0008342363109052161,0.0028450165377756427
0,0.101155821,72,0,1.4840740076249999,5400.0,12,0,2,0,0.0,8.594339400592892,0,5400.0,0.1643835616438356,0.1546822501957029,0.010543281488848411
0,0.009788862,46,0,0.352132701,3326.0,6,0,2,0,2.0,8.109826276018477,0,1108.6666666666667,0.1276595744680851,0.03865416203676525,0.0010745388225205871
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,8.412054873292933,0,4500.0,0.16393442622950818,0.05842271559213912,0.03586046899893539
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,8.221747728346623,0,3720.0,0.029411764705882353,0.05866389137246477,0.0
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,8.952087643548404,2,3861.5,0.30357142857142855,0.031793968897080783,0.07544886046966895
0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0,6.639875833826536,1,764.0,0.10714285714285714,0.08914356290773497,0.0008899481022840893
0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0,7.601402334583733,1,666.6666666666666,0.1875,0.01295652425790095,0.0004957423027237524
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,9.15440473964588,0,2363.75,0.2,0.015861270466319504,0.02653860633975457
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0,9.034199674257309,0,4192.0,0.16216216216216217,0.02617167442598629,0.026499212655909276
0,0.142013011,67,0,1.4840740076249999,5400.0,7,0,2,0,0.0,8.594339400592892,0,5400.0,0.10294117647058823,0.1546822501957029,0.014801749768329455
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,8.82379514872053,1,6793.0,0.2631578947368421,0.03762199938056895,0.08425544145307247
0,0.059668871,31,0,1.4840740076249999,0.0,11,0,2,0,1.0,0.0,0,0.0,0.34375,1.4840740076249999,0.059668871
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,9.235813167949214,1,2564.25,0.18,0.017866841646997457,0.012999728288969899
0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0,9.059633754551479,0,2150.0,0.5135135135135135,0.011592305430328203,0.023282966131249864
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,8.476579508530941,0,4800.0,0.16666666666666666,0.07330144261172185,0.012905071169392669
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,8.512381634419015,0,4975.0,0.15789473684210525,0.007795728961470458,0.04839758692336341
0,0.335558577,69,0,0.270448637,12672.5,14,0,2,0,1.0,9.447268478261009,0,6336.25,0.2,0.02588701894306226,0.032119264255364016
0,0.270522569,41,0,0.352132701,1042.0,11,0,2,0,2.0,6.949856455000773,0,347.3333333333333,0.2619047619047619,0.04429422128477485,0.03402861052036111
0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0,9.290444616217844,0,5416.5,0.2641509433962264,0.010799496731643203,0.017814261077805236
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,8.412054873292933,0,4500.0,0.04477611940298507,0.02218882930576601,0.007953807856818056
0,0.017258977,53,0,0.352132701,12414.0,13,0,1,0,2.0,9.426660697942268,0,4138.0,0.24074074074074073,0.03377233720375061,0.0016552736777371217
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,8.507344855361422,0,4950.0,0.3157894736842105,0.05175175840208815,0.005732101846423272
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,8.101980731853192,0,3300.0,0.3125,0.043400642194017285,0.0032041636715332915
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,8.494333897270154,0,2443.0,0.15254237288135594,0.03329826793756423,0.0
0,0.360509632,58,1,1.4840740076249999,5400.0,8,0,2,0,0.0,8.594339400592892,1,5400.0,0.13559322033898305,0.1546822501957029,0.03757524274966987
0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0,8.071218539969863,1,3200.0,0.07692307692307693,0.00044770512165540803,0.0004133610036488502
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,8.458928283284262,0,1572.0,0.2826086956521739,0.06253114690014663,0.07764912461573077
0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,8.50045386741194,0,4916.0,0.2459016393442623,0.05129112817141067,0.008480033598852351
0,0.039387786,51,0,1.4840740076249999,0.0,7,0,0,0,0.0,0.0,0,0.0,0.1346153846153846,1.4840740076249999,0.039387786
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,9.259225769705994,0,10500.0,0.15476190476190477,0.012066966531290964,0.00231668875737015
